mass_A
t	x	y
1,960000000E0	-5,400264480E-1	2,789692127E-1
1,970000000E0	-5,425225842E-1	2,824613104E-1
1,980000000E0	-5,441978678E-1	2,852842540E-1
1,990000000E0	-5,462121461E-1	2,884212937E-1
2,000000000E0	-5,481096797E-1	2,906348165E-1
2,010000000E0	-5,489489378E-1	2,922993189E-1
2,020000000E0	-5,497755166E-1	2,934303954E-1
2,030000000E0	-5,498453052E-1	2,936757646E-1
2,040000000E0	-5,497871547E-1	2,936857588E-1
2,050000000E0	-5,496521255E-1	2,935389242E-1
2,060000000E0	-5,488658697E-1	2,923205492E-1
2,070000000E0	-5,480911584E-1	2,908045192E-1
2,080000000E0	-5,468670531E-1	2,889701346E-1
2,090000000E0	-5,452759388E-1	2,864689009E-1
2,100000000E0	-5,432769759E-1	2,835219349E-1
2,110000000E0	-5,408483562E-1	2,796085851E-1
2,120000000E0	-5,381719165E-1	2,754390417E-1
2,130000000E0	-5,353666107E-1	2,709919297E-1
2,140000000E0	-5,315930776E-1	2,653451512E-1
2,150000000E0	-5,276670115E-1	2,596195784E-1
2,160000000E0	-5,232500447E-1	2,534011948E-1
2,170000000E0	-5,184806887E-1	2,469269556E-1
2,180000000E0	-5,131143347E-1	2,398592118E-1
2,190000000E0	-5,075047524E-1	2,325512543E-1
2,200000000E0	-5,015091623E-1	2,244446624E-1
2,210000000E0	-4,951591487E-1	2,161712367E-1
2,220000000E0	-4,876336866E-1	2,075463542E-1
2,230000000E0	-4,804351976E-1	1,985677755E-1
2,240000000E0	-4,721485989E-1	1,891560258E-1
2,250000000E0	-4,635322720E-1	1,800543223E-1
2,260000000E0	-4,545630586E-1	1,705192552E-1
2,270000000E0	-4,447967701E-1	1,607706415E-1
2,280000000E0	-4,340103800E-1	1,508339530E-1
2,290000000E0	-4,226859921E-1	1,408614244E-1
2,300000000E0	-4,107666449E-1	1,311782817E-1
2,310000000E0	-3,986676424E-1	1,217385559E-1
2,320000000E0	-3,857433888E-1	1,122193996E-1
2,330000000E0	-3,718184231E-1	1,029578717E-1
2,340000000E0	-3,575049060E-1	9,428916076E-2
2,350000000E0	-3,424413170E-1	8,578652416E-2
2,360000000E0	-3,265754899E-1	7,742645461E-2
2,370000000E0	-3,099395575E-1	6,922617987E-2
2,380000000E0	-2,934989744E-1	6,323929154E-2
2,390000000E0	-2,768284376E-1	5,504916850E-2
2,400000000E0	-2,588227004E-1	4,814342046E-2
2,410000000E0	-2,405947635E-1	4,205917870E-2
2,420000000E0	-2,222077310E-1	3,651417520E-2
2,430000000E0	-2,035654389E-1	3,116256266E-2
2,440000000E0	-1,845003130E-1	2,652455015E-2
2,450000000E0	-1,651339354E-1	2,241182758E-2
2,460000000E0	-1,458715001E-1	1,896124091E-2
2,470000000E0	-1,261123128E-1	1,580245697E-2
2,480000000E0	-1,062108950E-1	1,402700445E-2
2,490000000E0	-8,635521700E-2	1,147370191E-2
2,500000000E0	-6,646451412E-2	9,631984887E-3
2,510000000E0	-4,630602787E-2	8,330091408E-3
2,520000000E0	-2,615542129E-2	7,665720005E-3
2,530000000E0	-6,009133477E-3	8,045341361E-3
2,540000000E0	1,366621817E-2	8,041118664E-3
2,550000000E0	3,366802487E-2	8,325058880E-3
2,560000000E0	5,339741087E-2	9,575452716E-3
2,570000000E0	7,310318294E-2	1,109333336E-2
2,580000000E0	9,308361406E-2	1,391399496E-2
2,590000000E0	1,124725395E-1	1,698053512E-2
2,600000000E0	1,312424387E-1	1,965435543E-2
2,610000000E0	1,503497144E-1	2,358456982E-2
2,620000000E0	1,690895524E-1	2,783032183E-2
2,630000000E0	1,872873798E-1	3,248193821E-2
2,640000000E0	2,054623874E-1	3,763034109E-2
2,650000000E0	2,229631188E-1	4,351675430E-2
2,660000000E0	2,402111812E-1	4,970343380E-2
2,670000000E0	2,567086029E-1	5,614606698E-2
2,680000000E0	2,728701953E-1	6,320408626E-2
2,690000000E0	2,886335733E-1	7,028529405E-2
2,700000000E0	3,037413188E-1	7,831575877E-2
2,710000000E0	3,186291092E-1	8,576275684E-2
2,720000000E0	3,331890457E-1	9,327078145E-2
2,730000000E0	3,470476536E-1	1,014414705E-1
2,740000000E0	3,600370577E-1	1,097804161E-1
2,750000000E0	3,727291522E-1	1,181425283E-1
2,760000000E0	3,854596613E-1	1,261860394E-1
2,770000000E0	3,970687375E-1	1,352543196E-1
2,780000000E0	4,079509806E-1	1,439858430E-1
2,790000000E0	4,190718991E-1	1,513489976E-1
2,800000000E0	4,290067632E-1	1,594829594E-1
2,810000000E0	4,386082176E-1	1,674910502E-1
2,820000000E0	4,484765280E-1	1,751950268E-1
2,830000000E0	4,570492917E-1	1,833633471E-1
2,840000000E0	4,655726699E-1	1,910616939E-1
2,850000000E0	4,728370450E-1	1,988647921E-1
2,860000000E0	4,801910975E-1	2,051882957E-1
2,870000000E0	4,854359731E-1	2,132205488E-1
2,880000000E0	4,924647595E-1	2,191829372E-1
2,890000000E0	4,982343197E-1	2,249201100E-1
2,900000000E0	5,027554009E-1	2,313931955E-1
2,910000000E0	5,075989411E-1	2,365843627E-1
2,920000000E0	5,123024246E-1	2,418733876E-1
2,930000000E0	5,156944239E-1	2,472140495E-1
2,940000000E0	5,191974691E-1	2,512245004E-1
2,950000000E0	5,222188226E-1	2,554662751E-1
2,960000000E0	5,248226295E-1	2,591149326E-1
2,970000000E0	5,274291463E-1	2,622521407E-1
2,980000000E0	5,292829952E-1	2,652964651E-1
2,990000000E0	5,305825412E-1	2,679492769E-1
3,000000000E0	5,320247522E-1	2,695417733E-1
3,010000000E0	5,325107157E-1	2,711561993E-1
3,020000000E0	5,335393421E-1	2,714576435E-1
3,030000000E0	5,334234982E-1	2,721656078E-1
3,040000000E0	5,334087709E-1	2,721929566E-1
3,050000000E0	5,333788576E-1	2,710975257E-1
3,060000000E0	5,320694487E-1	2,707439620E-1
3,070000000E0	5,307713514E-1	2,694211596E-1
